group_type,group_key,group_name,company,id,name,sort,manufacturer_id,action
exact,apple|apple iphone 12 mini,Apple iPhone 12 Mini,Apple,1258069,Apple iPhone 12 Mini,41,114510,KEEP
exact,apple|apple iphone 12 mini,Apple iPhone 12 Mini,Apple,1258270,Apple IPhone 12 Mini,0,114510,MERGE_OR_DELETE
exact,apple|apple iphone 13 mini,Apple iPhone 13 Mini,Apple,1258110,Apple iPhone 13 Mini,45,114510,KEEP
exact,apple|apple iphone 13 mini,Apple iPhone 13 Mini,Apple,1258316,Apple IPhone 13 Mini ,0,114510,MERGE_OR_DELETE
exact,apple|apple iphone 13 pro,Apple iPhone 13 Pro,Apple,1258109,Apple iPhone 13 Pro,46,114510,KEEP
exact,apple|apple iphone 13 pro,Apple iPhone 13 Pro,Apple,1258297,Apple IPhone 13 Pro,0,114510,MERGE_OR_DELETE
exact,samsung|samsung chromebook,Samsung  Chromebook,Samsung,1258103,Samsung  Chromebook,2,114512,KEEP
exact,samsung|samsung chromebook,Samsung  Chromebook,Samsung,1258425,Samsung Chromebook,0,114512,MERGE_OR_DELETE
exact,samsung|samsung galaxy a12,Samsung Galaxy A12,Samsung,1258087,Samsung Galaxy A12,23,114512,KEEP
exact,samsung|samsung galaxy a12,Samsung Galaxy A12,Samsung,1258296,Samsung Galaxy A12,0,114512,MERGE_OR_DELETE
exact,samsung|samsung galaxy a21s,Samsung Galaxy A21S,Samsung,1258045,Samsung Galaxy A21S,5,114512,KEEP
exact,samsung|samsung galaxy a21s,Samsung Galaxy A21S,Samsung,1258158,Samsung Galaxy A21s,0,114512,MERGE_OR_DELETE
exact,samsung|samsung galaxy a22 5g,Samsung Galaxy A22 5G,Samsung,1258142,Samsung Galaxy A22 5G,26,114512,KEEP
exact,samsung|samsung galaxy a22 5g,Samsung Galaxy A22 5G,Samsung,1258282,Samsung Galaxy A22 5G,0,114512,MERGE_OR_DELETE
exact,samsung|samsung galaxy a31,Samsung Galaxy A31,Samsung,1258212,Samsung Galaxy A31,0,114512,KEEP
exact,samsung|samsung galaxy a31,Samsung Galaxy A31,Samsung,1258227,Samsung Galaxy A31,0,114512,MERGE_OR_DELETE
exact,samsung|samsung galaxy a53,Samsung Galaxy A53,Samsung,1258173,Samsung Galaxy A53,0,114512,KEEP
exact,samsung|samsung galaxy a53,Samsung Galaxy A53,Samsung,1258321,Samsung Galaxy A53 ,0,114512,MERGE_OR_DELETE
exact,samsung|samsung galaxy m51,Samsung Galaxy M51,Samsung,1258161,Samsung Galaxy M51,0,114512,KEEP
exact,samsung|samsung galaxy m51,Samsung Galaxy M51,Samsung,1258277,Samsung Galaxy M51,0,114512,MERGE_OR_DELETE
exact,samsung|samsung galaxy s21,Samsung Galaxy S21,Samsung,1258083,Samsung Galaxy S21,45,114512,KEEP
