id,name,old_device,old_device_name,new_device,new_device_name,success,message
12999358,Apple iPhone 13 Pro Labor,1258109,old del 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
12999918,Apple iPhone 13 Pro On/Off button Replacement,1258109,old del 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
13000094,Apple IPhone 13 Pro Camera Replacement,1258297,Apple IPhone 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
13000143,Apple IPhone 13 Pro Max Pass Code Reset,1258304,Samsung Xcover 7,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
13000246,Apple iPhone 13 Pro Max Back Glass Replacement,1258304,Samsung Xcover 7,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
13000549,Apple iPhone 13 Pro Logic Board for TWO Issues,1258109,old del 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
13000704,Apple iPhone 13 Pro Logic Board for ONE Issue,1258109,old del 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
12999556,Apple iPhone 13 Pro Camera Glass Lens Replacement,1258109,old del 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
12999736,Apple iPhone 13 Pro OEM Screen Replacement,1258109,old del 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
12999833,Apple iPhone 13 Pro Rear Camera Replacement,1258109,old del 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
12999875,Apple iPhone 13 pro Back Glass Replacement,1258109,old del 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
12999889,Apple iPhone 13 Pro Battery Replacement,1258297,Apple IPhone 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
13000167,Apple IPhone 13 Pro Max Battery Replacement,1258304,Samsung Xcover 7,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
13000168,Apple IPhone 13 Pro Charging Port Replacement,1258297,Apple IPhone 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
13000205,Apple iPhone 13 Pro TFT Aftermarket Screen Replacement,1258109,old del 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
13000706,Back Main Camera Replacement for iPhone 13 Pro,1258297,Apple IPhone 13 Pro,1258111,Apple iPhone 13 Pro Max,True,Item was updated successfully
