brand,category,stock,name
apple,battery,3.0,Apple A1405 Battery 7.6V 6700mAh
apple,battery,6.0,Apple iPhone 12 / 12 Pro Battery
apple,battery,-1.0,Apple iPhone 12 Mini Battery
apple,battery,-4.0,Apple iPhone 12 Pro Battery
apple,battery,0.0,Apple iPhone 13 Mini Battery
apple,battery,-1.0,Apple iPhone 13 Pro Battery
apple,battery,-2.0,Apple iPhone 13 Pro Max Battery
apple,battery,-1.0,Apple iPhone 14 Pro Battery
apple,battery,1.0,Apple iPhone 14 Pro Max Battery
apple,battery,2.0,Apple iPhone 15 Battery
apple,battery,1.0,Apple iPhone 15 Pro Battery
apple,battery,0.0,Apple iPhone 15 Pro Max Battery
apple,battery,2.0,Apple iPhone SE 2020 Battery
apple,camera_glass,5.0,Apple iPhone 13 Pro/13 Pro Max Camera Lens
apple,camera_glass,3.0,Apple iPhone 13/13 Mini Camera Lens
apple,camera_glass,4.0,Apple iPhone 14 Pro/14 Pro Max Camera Lens
apple,camera_glass,5.0,Apple iPhone 14 Pro/14 Pro Max Camera Lens
apple,camera_glass,3.0,Apple iPhone 14/14 Plus Camera Lens
apple,mac_parts,0.0,Apple MacBook Air 13” M1
apple,mac_parts,0.0,Apple MacBook Air M1 13” 2020 8GB 256GB Space Grey A2337
apple,mac_parts,0.0,Apple MacBook Pro 13” M2
apple,mac_parts,0.0,"Apple MacBook Pro 16"" M1 Max"
apple,mac_parts,122.0,"Apple MacBook Pro 16"" M1 Pro"
apple,mac_parts,12.0,Apple MacBook Pro MD101 2.5GHZ 500GB Refurb
apple,mac_parts,8.0,Apple MacBook Pro MD101 Core i5 2.5GHZ 4GB 1TB Refurb
apple,mac_parts,0.0,APPLE WIFI/BLUETOOTH CARD MACBOOK PRO 2015 A1502
apple,other,1.0,Apple iPhone 7 128GB Gold Refurb
apple,other,1.0,Apple iPhone 7 32GB Rose Gold Refurb
apple,other,1.0,Apple iPhone 8 256GB Red Refurb
apple,other,1.0,Apple iPhone iPhone XR 64GB Black A Grade
apple,power_charging,-1.0,Apple 85W MagSafe 1 Power Adapter A1343 Charger
apple,power_charging,2.0,Apple A1718 61W USB Type-C Power Adapter
apple,power_charging,1.0,Apple A1719 87W USB Type-C Power Adapter
apple,power_charging,1.0,Apple ipad 6th gen chargerport flex
apple,power_charging,7.0,Apple iPhone 12 USB-C to Lightning Cable
apple,power_charging,0.0,Apple USB PSU Type C Charger
apple,screen_display,1.0,Apple iPad 5 Retina Display 32GB Space Grey Refurb
apple,tablet_parts,-2.0,Apple Charge & Sync 30 Pin Cable for iPhones 3/4 and iPads 1m
apple,tablet_parts,0.0,"Apple Ipad 10.5"" Homebutton"
apple,tablet_parts,3.0,Apple iPad 2 16GB Wifi Black Refurb
apple,tablet_parts,5.0,Apple iPad 2 16GB Wifi White Refurb
apple,tablet_parts,2.0,Apple iPad 2 32GB Wifi Refurb
apple,tablet_parts,1.0,Apple iPad 3 32GB Wifi + Cellular Black Refurb
apple,tablet_parts,0.0,Apple iPad 4 16GB Cellular Black Refurb
apple,tablet_parts,1.0,Apple iPad 4 16GB WIFI White Refurb
apple,tablet_parts,1.0,Apple iPad 4 32GB Wifi + Cellular Space Grey Refurb
apple,tablet_parts,0.0,Apple iPad 4 64gb wifi + cellular White Refurb
apple,tablet_parts,0.0,Apple iPad 4 64gb wifi + cellular White Refurb
apple,tablet_parts,1.0,Apple iPad A1893
