id,brand,stock,current,suggested,category
12999701,apple,6.0,Apple iPhone 12 / 12 Pro Battery,Battery for iPhone 12 / 12 Pro,Mobile phone Batteries
12999475,apple,5.0,Apple iPhone 13 Pro/13 Pro Max Camera Lens,Camera Glass Lens for iPhone 13 Pro/13 Pro Max,Mobile Phone Parts
12999691,apple,5.0,Apple iPhone 14 Pro/14 Pro Max Camera Lens,Camera Glass Lens for iPhone 14 Pro/14 Pro Max,Mobile Phone Parts
12999856,apple,4.0,Apple iPhone 14 Pro/14 Pro Max Camera Lens,Camera Glass Lens for iPhone 14 Pro/14 Pro Max,Mobile Phone Parts
12999474,apple,3.0,Apple iPhone 13/13 Mini Camera Lens,Camera Glass Lens for iPhone 13/13 Mini,Mobile Phone Parts
12999690,apple,3.0,Apple iPhone 14/14 Plus Camera Lens,Camera Glass Lens for iPhone 14/14 Plus,Mobile Phone Parts
13000962,apple,2.0,Apple iPhone 15 Battery,Battery for iPhone 15,Mobile phone Batteries
12998637,apple,2.0,Apple iPhone SE 2020 Battery,Battery for iPhone SE 2020,Mobile Phone Parts
13000970,apple,1.0,Apple iPhone 14 Pro Max Battery,Battery for iPhone 14 Pro Max,Mobile phone Batteries
13000956,apple,1.0,Apple iPhone 15 Pro Battery,Battery for iPhone 15 Pro,Mobile phone Batteries
13000291,apple,0.0,Apple iPhone 13 Mini Battery,Battery for iPhone 13 Mini,Mobile phone Batteries
13001101,apple,0.0,Apple iPhone 15 Pro Max Battery,Battery for iPhone 15 Pro Max,Mobile phone Batteries
12999400,apple,-1.0,Apple iPhone 12 Mini Battery,Battery for iPhone 12 Mini,Mobile phone Batteries
12999890,apple,-1.0,Apple iPhone 13 Pro Battery,Battery for iPhone 13 Pro,Mobile phone Batteries
13000953,apple,-1.0,Apple iPhone 14 Pro Battery,Battery for iPhone 14 Pro,Mobile phone Batteries
12999775,apple,-2.0,Apple iPhone 13 Pro Max Battery,Battery for iPhone 13 Pro Max,Mobile phone Batteries
12999702,apple,-4.0,Apple iPhone 12 Pro Battery,Battery for iPhone 12 Pro,Mobile phone Batteries
13001222,asus,0.0,Asus X452EP X550 X550A X550C X550CA X550CC X550CL 14.4V 2950mAh 4-Cell A41-X550 Battery,Battery for Asus X452EP X550 X550A X550C X550CA X550CC X550CL 14.4V 2950mAh 4-Cell A41-X550,
13001201,asus,0.0,Asus X452EP X550 X550A X550C X550CA X550CC X550CL 14.4V 2950mAh 4-Cell A41-X550 Battery,Battery for Asus X452EP X550 X550A X550C X550CA X550CC X550CL 14.4V 2950mAh 4-Cell A41-X550,
12999664,google,0.0,Google Pixel 1st Gen S1 B2PW4100 Battery,Battery for Google Pixel 1st Gen S1 B2PW4100,Mobile Phone Parts
12999416,google,0.0,Google Pixel 3 Battery,Battery for Google Pixel 3,Mobile Phone Parts
12999870,google,-1.0,Google Pixel 5A Lcd Screen,Screen for Google Pixel 5A,OLD-Phone Screens
12997836,huawei,5.0,Huawei Mate 9 Charging Port,Charging Port for Huawei Mate 9,Mobile Phone Parts
12998208,huawei,5.0,Huawei Nexus 6 plus Camera Lens,Camera Glass Lens for Huawei Nexus 6 plus,Mobile Phone Parts
12998216,huawei,5.0,Huawei Nova 2i Charging Port,Charging Port for Huawei Nova 2i,Mobile Phone Parts
12998215,huawei,4.0,Huawei Mate 10 Charging Port,Charging Port for Huawei Mate 10,Mobile Phone Parts
12998219,huawei,4.0,Huawei P20 Lite / Nova 3E Screen,Screen for Huawei P20 Lite / Nova 3E,OLD-Phone Screens
12998229,huawei,4.0,Huawei P20 Screen,Screen for Huawei P20,OLD-Phone Screens
12998214,huawei,3.0,Huawei Nova 2i Screen,Screen for Huawei Nova 2i,OLD-Phone Screens
12998217,huawei,3.0,Huawei Nova 3i Charging Port,Charging Port for Huawei Nova 3i,Mobile Phone Parts
12998218,huawei,3.0,Huawei Nova 3i Screen,Screen for Huawei Nova 3i,OLD-Phone Screens
12998691,huawei,3.0,Huawei Nova 5T Charging Port,Charging Port for Huawei Nova 5T,Mobile Phone Parts
12998230,huawei,3.0,Huawei P10 Lite Screen,Screen for Huawei P10 Lite,OLD-Phone Screens
12998228,huawei,3.0,Huawei P8 Lite Screen,Screen for Huawei P8 Lite,OLD-Phone Screens
12998227,huawei,3.0,Huawei P8 Screen,Screen for Huawei P8,OLD-Phone Screens
12997954,huawei,3.0,Huawei Y9 2019 Screen,Screen for Huawei Y9 2019,Mobile Phone Screens
12999364,huawei,2.0,Huawei Mate 10 Pro Screen,Screen for Huawei Mate 10 Pro,OLD-Phone Screens
12998226,huawei,2.0,Huawei Mate 8 Screen,Screen for Huawei Mate 8,OLD-Phone Screens
12998986,huawei,2.0,Huawei Phone P20 Charging Port,Charging Port for Huawei P20,Mobile Phone Parts
12998511,huawei,2.0,Huawei Y9 Prime 2019 Screen,Screen for Huawei Y9 Prime 2019,Mobile Phone Parts
12998118,huawei,1.0,Huawei Mate 9 Battery,Battery for Huawei Mate 9,Mobile Phone Parts
12997965,huawei,1.0,Huawei Nexus 6 plus Battery,Battery for Huawei Nexus 6 plus,Mobile Phone Parts
12999348,huawei,1.0,Huawei P30 Pro / Mate 20 Pro Battery,Battery for Huawei P30 Pro / Mate 20 Pro,Mobile Phone Parts
12998165,huawei,1.0,Huawei P9 Plus Screen,Screen for Huawei P9 Plus,OLD-Phone Screens
12999371,huawei,1.0,Huawei Phone P30 Back Glass,Back Glass for Huawei P30,Mobile Phone Parts
12999398,huawei,1.0,Huawei Phone P30 Pro Back Glass,Back Glass for Huawei P30 Pro,Mobile Phone Parts
12997937,huawei,1.0,Huawei Y8 / Y7 Prime / Y7 Pro 2019 Screen,Screen for Huawei Y8 / Y7 Prime / Y7 Pro 2019,Mobile Phone Screens
