id,old_name,new_name,in_stock
12998379,LCD Screen for iPhone 11 Orginal,LCD Screen for iPhone 11,4
12999753,LCD Screen for iPhone 13 Pro Orginal,LCD Screen for iPhone 13 Pro,1
12997658,LCD Screen for iPhone XS Max Orginal,LCD Screen for iPhone XS Max,0
12997659,LCD Screen for iPhone XS Orginal,LCD Screen for iPhone XS,5
12998569,iPhone X Org. Cracked Screen for Sell,Cracked Screen for Parts — iPhone X,-7
12999102,iPhone XS Max Org. Cracked Screen for Sell,Cracked Screen for Parts — iPhone XS Max,-3
12999101,iPhone XS Org. Cracked Screen for Sell,Cracked Screen for Parts — iPhone XS,-3
12999509,Samsung S20 FE Org. Cracked Screen for Sell,Cracked Screen for Parts — Samsung S20 FE,-2
12999103,Screen for iPhone 11 Pro Max Org. Cracked for Sell,Cracked Screen for Parts — iPhone 11 Pro Max,-4
12998802,Screen for iPhone 11 Pro Org. Cracked for Sell,Cracked Screen for Parts — iPhone 11 Pro,-6
12999537,Screen for iPhone 12 Org. Cracked for Sell,Cracked Screen for Parts — iPhone 12,-1
12999555,"MacBook Air 13"" A2337 M1 Late2020 OEM Screen Assembly Grey","Screen Assembly for MacBook Air 13"" A2337 M1 Late2020 Grey",1
13000270,"MacBook Air 13"" A2337 M1 Late2020 OEM Screen Assembly Rose Gold","Screen Assembly for MacBook Air 13"" A2337 M1 Late2020 Rose Gold",0
12999461,"MacBook Air 13"" A2338 M1 Late2020 OEM Screen Assembly Grey","Screen Assembly for MacBook Air 13"" A2338 M1 Late2020 Grey",0
13000271,"MacBook Pro 13"" A2338 M1 Late2020 OEM Screen Assembly Silver","Screen Assembly for MacBook Pro 13"" A2338 M1 Late2020 Silver",2
12998718,Apple iPhone 11 Back Glass,Back Glass for iPhone 11,12
12998719,Apple iPhone 11 Pro Back Glass,Back Glass for iPhone 11 Pro,15
12998720,Apple iPhone 11 Pro Max Back Glass,Back Glass for iPhone 11 Pro Max,15
12998721,Apple iPhone 12 Back Glass,Back Glass for iPhone 12,10
12998722,Apple iPhone 12 Mini Back Glass,Back Glass for iPhone 12 Mini,15
12998723,Apple iPhone 12 Pro Back Glass,Back Glass for iPhone 12 Pro,6
12998724,Apple iPhone 12 Pro Max Back Glass,Back Glass for iPhone 12 Pro Max,10
12998712,Apple iPhone 8 Back Glass,Back Glass for iPhone 8,4
12998713,Apple iPhone 8 Plus Back Glass,Back Glass for iPhone 8 Plus,6
12998725,Apple iPhone SE 2020 Back Glass,Back Glass for iPhone SE 2020,12
12998714,Apple iPhone X Back Glass,Back Glass for iPhone X,13
12998717,Apple iPhone XR Back Glass,Back Glass for iPhone XR,18
12998715,Apple iPhone XS Back Glass,Back Glass for iPhone XS,20
12998716,Apple iPhone XS Max Back Glass,Back Glass for iPhone XS Max,9
12999496,Samsung Galaxy A01 Back Glass,Back Glass for Galaxy A01,2
12999497,Samsung Galaxy A02s Back Glass,Back Glass for Galaxy A02s,1
12999489,Samsung Galaxy A11 Back Glass,Back Glass for Galaxy A11,1
12999498,Samsung Galaxy A12 Back Glass,Back Glass for Galaxy A12,1
12999492,Samsung Galaxy A20 Back Glass,Back Glass for Galaxy A20,0
12999494,Samsung Galaxy A21s Back Glass,Back Glass for Galaxy A21s,1
12999487,Samsung Galaxy A22 4G Back Glass,Back Glass for Galaxy A22 4G,1
12999488,Samsung Galaxy A22 5G Back Glass,Back Glass for Galaxy A22 5G,0
12999495,Samsung Galaxy A30 Back Glass,Back Glass for Galaxy A30,1
12999493,Samsung Galaxy A32 5G Back Glass,Back Glass for Galaxy A32 5G,1
12999486,Samsung Galaxy A50 Back Glass,Back Glass for Galaxy A50,1
12999490,Samsung Galaxy A52 Back Glass,Back Glass for Galaxy A52,1
13000182,Samsung Galaxy A54 5G Back Glass,Back Glass for Galaxy A54 5G,0
12999491,Samsung Galaxy A72 4G Back Glass,Back Glass for Galaxy A72 4G,2
12998981,Samsung Galaxy Note20 Back Glass,Back Glass for Galaxy Note20,2
12998982,Samsung Galaxy Note20 Ultra Back Glass,Back Glass for Galaxy Note20 Ultra,0
12999229,Samsung Galaxy S20 FE Back Glass,Back Glass for Galaxy S20 FE,1
12998978,Samsung Galaxy S21 Back Glass,Back Glass for Galaxy S21,2
12999714,Samsung Galaxy S21 back glass replacement,Back Glass for Galaxy S21,0
12998979,Samsung Galaxy S21 Plus Back Glass,Back Glass for Galaxy S21 Plus,4
12998980,Samsung Galaxy S21 Ultra Back Glass,Back Glass for Galaxy S21 Ultra,2
12999603,Samsung Galaxy S22 Back Glass,Back Glass for Galaxy S22,1
12999604,Samsung Galaxy S22 Plus Back Glass,Back Glass for Galaxy S22 Plus,1
12999602,Samsung Galaxy S22 Ultra Back Glass,Back Glass for Galaxy S22 Ultra,0
12998233,Samsung Phone Note 10 Back Glass,Back Glass for Samsung Note 10,12
12998672,Samsung Phone Note 10 Plus Back Glass,Back Glass for Samsung Note 10 Plus,1
12998231,Samsung Phone Note 8 Back Glass,Back Glass for Samsung Note 8,8
12998232,Samsung Phone Note 9 Back Glass,Back Glass for Samsung Note 9,7
