id,old_name,current_name,new_name,success,message
13000531,Apple iPhone 12 Pro OEM Screen,Screen for iPhone 12 Pro,OEM Screen for iPhone 12 Pro,True,Item was updated successfully
12999859,Apple iphone 13 OEM Screen,Screen for iPhone 13,OEM Screen for iPhone 13,True,Item was updated successfully
12999781,Apple iphone 13 Pro Max OEM Screen,Screen for iPhone 13 Pro Max,OEM Screen for iPhone 13 Pro Max,True,Item was updated successfully
12828242,Apple iPhone 5S Screen SE Screen Black [ORG],Screen for iPhone 5S SE Black,OEM Screen for iPhone 5S SE Black,True,Item was updated successfully
12828241,Apple iPhone 5S Screen SE Screen White [ORG],Screen for iPhone 5S SE White,OEM Screen for iPhone 5S SE White,True,Item was updated successfully
12828209,Apple iPhone 6 Plus Screen Black [ORG],Screen for iPhone 6 Plus Black,OEM Screen for iPhone 6 Plus Black,True,Item was updated successfully
12827836,Apple iPhone 6 Plus Screen White [ORG],Screen for iPhone 6 Plus White,OEM Screen for iPhone 6 Plus White,True,Item was updated successfully
12828222,Apple iPhone 6 Screen Black [ORG],Screen for iPhone 6 Black,OEM Screen for iPhone 6 Black,True,Item was updated successfully
12828221,Apple iPhone 6 Screen White [ORG],Screen for iPhone 6 White,OEM Screen for iPhone 6 White,True,Item was updated successfully
12828163,Apple iPhone 6S Plus Screen Black [ORG],Screen for iPhone 6S Plus Black,OEM Screen for iPhone 6S Plus Black,True,Item was updated successfully
12828162,Apple iPhone 6S Plus Screen White [ORG],Screen for iPhone 6S Plus White,OEM Screen for iPhone 6S Plus White,True,Item was updated successfully
12827820,Apple iPhone 6S Screen Black [ORG],Screen for iPhone 6S Black,OEM Screen for iPhone 6S Black,True,Item was updated successfully
12828127,Apple iPhone 6S Screen White [ORG],Screen for iPhone 6S White,OEM Screen for iPhone 6S White,True,Item was updated successfully
12828164,Apple iPhone 7 Plus Screen Black [ORG],Screen for iPhone 7 Plus Black,OEM Screen for iPhone 7 Plus Black,True,Item was updated successfully
12828165,Apple iPhone 7 Plus Screen White [ORG],Screen for iPhone 7 Plus White,OEM Screen for iPhone 7 Plus White,True,Item was updated successfully
12827790,Apple iPhone 7 Screen Black [ORG],Screen for iPhone 7 Black,OEM Screen for iPhone 7 Black,True,Item was updated successfully
12827791,Apple iPhone 7 Screen White [ORG],Screen for iPhone 7 White,OEM Screen for iPhone 7 White,True,Item was updated successfully
12827535,Apple iPhone 8 Screen Black [ORG],Screen for iPhone 8 Black,OEM Screen for iPhone 8 Black,True,Item was updated successfully
12828112,Apple iPhone X Screen [ORG],Screen for iPhone X,OEM Screen for iPhone X,True,Item was updated successfully
12998379,LCD Screen for iPhone 11 Orginal,LCD Screen for iPhone 11,OEM LCD Screen for iPhone 11,True,Item was updated successfully
12999684,iPhone 11 Pro Max OEM Screen,Screen for iPhone 11 Pro Max,OEM Screen for iPhone 11 Pro Max,True,Item was updated successfully
12999103,Screen for iPhone 11 Pro Max Org. Cracked for Sell,Cracked Screen for Parts — iPhone 11 Pro Max,OEM Cracked Screen for Parts — iPhone 11 Pro Max,True,Item was updated successfully
12998802,Screen for iPhone 11 Pro Org. Cracked for Sell,Cracked Screen for Parts — iPhone 11 Pro,OEM Cracked Screen for Parts — iPhone 11 Pro,True,Item was updated successfully
12999537,Screen for iPhone 12 Org. Cracked for Sell,Cracked Screen for Parts — iPhone 12,OEM Cracked Screen for Parts — iPhone 12,True,Item was updated successfully
12999753,LCD Screen for iPhone 13 Pro Orginal,LCD Screen for iPhone 13 Pro,OEM LCD Screen for iPhone 13 Pro,True,Item was updated successfully
12997659,LCD Screen for iPhone XS Orginal,LCD Screen for iPhone XS,OEM LCD Screen for iPhone XS,True,Item was updated successfully
12997658,LCD Screen for iPhone XS Max Orginal,LCD Screen for iPhone XS Max,OEM LCD Screen for iPhone XS Max,True,Item was updated successfully
13000459,Samsung A34 OEM screen with frame,Screen for Samsung A34 with Frame,OEM Screen for Samsung A34 with Frame,True,Item was updated successfully
13000462,Samsung A52 OEM screen with frame,Screen for Samsung A52 with Frame,OEM Screen for Samsung A52 with Frame,True,Item was updated successfully
12999479,Samsung Galaxy A71 4G OEM Screen,Screen for Samsung Galaxy A71 4G,OEM Screen for Samsung Galaxy A71 4G,True,Item was updated successfully
12998569,iPhone X Org. Cracked Screen for Sell,Cracked Screen for Parts — iPhone X,OEM Cracked Screen for Parts — iPhone X,True,Item was updated successfully
12999102,iPhone XS Max Org. Cracked Screen for Sell,Cracked Screen for Parts — iPhone XS Max,OEM Cracked Screen for Parts — iPhone XS Max,True,Item was updated successfully
12999101,iPhone XS Org. Cracked Screen for Sell,Cracked Screen for Parts — iPhone XS,OEM Cracked Screen for Parts — iPhone XS,True,Item was updated successfully
12999509,Samsung S20 FE Org. Cracked Screen for Sell,Cracked Screen for Parts — Samsung S20 FE,OEM Cracked Screen for Parts — Samsung S20 FE,True,Item was updated successfully
12999555,"MacBook Air 13"" A2337 M1 Late2020 OEM Screen Assembly Grey","Screen Assembly for MacBook Air 13"" A2337 M1 Late2020 Grey","OEM Screen Assembly for MacBook Air 13"" A2337 M1 Late2020 Grey",True,Item was updated successfully
13000270,"MacBook Air 13"" A2337 M1 Late2020 OEM Screen Assembly Rose Gold","Screen Assembly for MacBook Air 13"" A2337 M1 Late2020 Rose Gold","OEM Screen Assembly for MacBook Air 13"" A2337 M1 Late2020 Rose Gold",True,Item was updated successfully
12999461,"MacBook Air 13"" A2338 M1 Late2020 OEM Screen Assembly Grey","Screen Assembly for MacBook Air 13"" A2338 M1 Late2020 Grey","OEM Screen Assembly for MacBook Air 13"" A2338 M1 Late2020 Grey",True,Item was updated successfully
13000271,"MacBook Pro 13"" A2338 M1 Late2020 OEM Screen Assembly Silver","Screen Assembly for MacBook Pro 13"" A2338 M1 Late2020 Silver","OEM Screen Assembly for MacBook Pro 13"" A2338 M1 Late2020 Silver",True,Item was updated successfully
13001117,OEM Samsung A32 5G LCD and Digitiser Replacement with Frame,LCD Screen for Samsung A32 5G with Frame,OEM LCD Screen for Samsung A32 5G with Frame,True,Item was updated successfully
