id,old_name,new_name,reason,stock,sku
13000954,Apple iPhone 15 Plus TFT Screen,RHD Screen for iPhone 15 Plus,tft,1,PHSA0195
13000934,Apple iPhone 15 TFT Screen,RHD Screen for iPhone 15,tft,1,PHSA0192
13000210,IPhone  13 pro aftermarket tft screen,RHD Screen for iPhone 13 Pro,tft,1,PHSA0177
12998269,IPhone 11 Aftermarket LCD Screen TFT,RHD Screen for iPhone 11,tft,0,PHSA0097
12998337,IPhone 11 Pro Aftermarket LCD Screen TFT,RHD Screen for iPhone 11 Pro,tft,3,PHSA0098
12998353,iPhone 11 Pro Max Aftermarket LCD Screen TFT,RHD Screen for iPhone 11 Pro Max,tft,4,PHSA0099
12998917,iPhone 12 / 12 Pro Aftermarket TFT LCD Screen,RHD Screen for iPhone 12 / 12 Pro,tft,2,PHSA0103
12998915,iPhone 12 Pro Max Aftermarket LCD Screen TFT,RHD Screen for iPhone 12 Pro Max,tft,-2,PHSA0101
12999633,iPhone 13 TFT Aftermarket LCD Screen,RHD Screen for iPhone 13,tft,-1,PHP13003
13001224,iPhone 16 Pro Aftermarket TFT Screen,RHD Screen for iPhone 16 Pro,tft,0,
13001203,iPhone 16 Pro Aftermarket TFT Screen,RHD Screen for iPhone 16 Pro,tft,0,
13001187,iPhone 16 Pro Aftermarket TFT Screen,RHD Screen for iPhone 16 Pro,tft,0,
13001108,iPhone 16 Pro Aftermarket TFT Screen,RHD Screen for iPhone 16 Pro,tft,0,PHSA0200
13000359,iPhone SE 2020 2022 Aftermarket TFT LCD Screen,RHD Screen for iPhone SE 2020 2022,tft,-2,PHSA0201
12828119,iPhone X Aftermarket LCD Screen TFT,RHD Screen for iPhone X,tft,-1,PHSA0080
12997980,iPhone XR LCD Screen TFT,RHD Screen for iPhone XR,tft,-1,PHSA0122
12998246,iPhone XR TFT Screen (Don't Use This),RHD Screen for iPhone XR,tft,11,PHPX0025
12998247,iPhone XS LCD Screen- TFT,RHD Screen for iPhone XS,tft,-2,PHSA0125
12998248,iPhone XS Max Aftermarket LCD Screen TFT,RHD Screen for iPhone XS Max,tft,2,PHSA0126
12999106,Samsung Galaxy A32 5G TFT Screen,RHD Screen for Samsung Galaxy A32 5G,tft,1,PHSS0129
12999807,Apple ipad 9th Gen Touch Glass Screen Black,Touch Glass for iPad 9th Gen Black,apple_prefix,0,PHSA0114
12999808,Apple ipad Mini 4 Lcd Screen,LCD Screen for iPad mini 4,apple_prefix,2,PHSA0115
12998800,Apple iPhone 11 Pro Screen,Screen for iPhone 11 Pro,apple_prefix,5,PHPX0049
13000531,Apple iPhone 12 Pro OEM Screen,Screen for iPhone 12 Pro,apple_prefix,-1,PHSA0191
12999859,Apple iphone 13 OEM Screen,Screen for iPhone 13,apple_prefix,0,PHSA0116
13001115,Apple iPhone 13 OLED Screen,OLED Screen for iPhone 13,apple_prefix,0,PHSA0222
12999781,Apple iphone 13 Pro Max OEM Screen,Screen for iPhone 13 Pro Max,apple_prefix,9,PHP70044
13001022,Apple iPhone 13 Pro Max OLED Screen,OLED Screen for iPhone 13 Pro Max,apple_prefix,0,PHSA0196
13001063,Apple iPhone 16 Pro Aftermarket OLED Screen,OLED Screen for iPhone 16 Pro,apple_prefix,0,PHSA0197
13001103,Apple iPhone 16e Aftermarket OLED Screen,OLED Screen for iPhone 16e,apple_prefix,0,PHSA0198
13001107,Apple iPhone 17 Pro Aftermarket OLED Screen,OLED Screen for iPhone 17 Pro,apple_prefix,0,PHSA0199
12828242,Apple iPhone 5S Screen SE Screen Black [ORG],Screen for iPhone 5S SE Black,apple_prefix,0,PHSA0023
12828241,Apple iPhone 5S Screen SE Screen White [ORG],Screen for iPhone 5S SE White,apple_prefix,0,PHSA0024
12828209,Apple iPhone 6 Plus Screen Black [ORG],Screen for iPhone 6 Plus Black,apple_prefix,1,PHSA0056
12827836,Apple iPhone 6 Plus Screen White [ORG],Screen for iPhone 6 Plus White,apple_prefix,1,PHSA0057
12828222,Apple iPhone 6 Screen Black [ORG],Screen for iPhone 6 Black,apple_prefix,0,PHSA0054
12828221,Apple iPhone 6 Screen White [ORG],Screen for iPhone 6 White,apple_prefix,4,PHSA0055
12828163,Apple iPhone 6S Plus Screen Black [ORG],Screen for iPhone 6S Plus Black,apple_prefix,0,PHSA0060
12828162,Apple iPhone 6S Plus Screen White [ORG],Screen for iPhone 6S Plus White,apple_prefix,0,PHSA0061
12827820,Apple iPhone 6S Screen Black [ORG],Screen for iPhone 6S Black,apple_prefix,2,PHSA0058
12828127,Apple iPhone 6S Screen White [ORG],Screen for iPhone 6S White,apple_prefix,-1,PHSA0059
12828164,Apple iPhone 7 Plus Screen Black [ORG],Screen for iPhone 7 Plus Black,apple_prefix,3,PHSA0067
12828165,Apple iPhone 7 Plus Screen White [ORG],Screen for iPhone 7 Plus White,apple_prefix,1,PHSA0068
12827790,Apple iPhone 7 Screen Black [ORG],Screen for iPhone 7 Black,apple_prefix,1,PHSA0065
